"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",94,0.736673006888024,2.3894349318141,8.89201897440264e-15,1.82286388975254e-12,1.44144307585053e-12,2074,"tags=53%, list=15%, signal=46%","SEC24D/COPE/AP2B1/ARFGAP3/TMED2/COPB2/SEC31A/ICA1/YKT6/GOSR2/BET1/TMED10/GBF1/COPB1/ARCN1/RAB2A/KRT18/SEC22B/CLTC/AP1G1/USO1/ARF1/ZW10/CD63/TMX1/ATP7A/AP3B1/LMAN1/STX12/VAMP7/AP3S1/NAPA/VAMP4/GNAS/CTSC/CLCN3/STX16/GOLGA4/BNIP3/MON2/KIF1B/RPS6KA3/ANP32E/VPS45/ATP1A1/IGF2R/CLTA/VAMP3/RAB5A/YIPF6"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",110,0.683257168371497,2.26459059488845,9.93796711437517e-13,1.01864162922345e-10,8.05498387165145e-11,1687,"tags=45%, list=12%, signal=39%","SERP1/KDELR3/HYOU1/SSR1/HERPUD1/SRPRB/CALR/PREB/DNAJB9/WIPI1/BAG3/FKBP14/SHC1/SRPRA/SEC31A/WFS1/XBP1/DNAJC3/HSPA5/ATP6V0D1/SLC30A5/ARFGAP1/GOSR2/EXOSC1/PDIA6/ATF6/YIF1A/PDIA5/XPOT/HSP90B1/NOLC1/SPCS1/EIF2AK3/EEF2/PSAT1/TSPYL2/SPCS3/IARS1/EDEM1/ERO1A/SLC7A5/IMP3/TARS1/CKS1B/ALDH18A1/EIF4EBP1/SEC11A/MTREX/NHP2"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.454836235162381,-2.29997431787129,3.00499694547836e-12,2.05341457941021e-10,1.62375273545146e-10,1835,"tags=44%, list=13%, signal=38%","ATAD2/PCNA/XPO1/BIRC5/PLK4/SMC1A/UBE2S/MYBL2/RAD21/MCM7/PA2G4/ESPL1/TIMELESS/WEE1/KIF22/SPAG5/SRSF1/HMGA1/KIF18B/PSIP1/SRSF2/E2F8/SLBP/POLD1/CDC25B/NCAPD2/CCNB2/IPO7/MCM4/ILF3/LYAR/BUB1B/TIPIN/MMS22L/RAD50/TK1/PDS5B/CIT/HNRNPD/DCK/SPC24/DCTPP1/SHMT1/LUC7L3/SMC6/CDK4/SMC3/H2AZ1/NBN/POLD3/PRKDC/MCM2/RNASEH2A/TACC3/MCM5/LIG1/SSRP1/CKS2/RAN/DEPDC1/TP53/RBBP7/RPA1/POLE/TUBG1/DUT/MRE11/CCNE1/CTCF/NASP/HELLS/PNN/PLK1/UNG/CENPM/TUBB/CTPS1/BARD1/LMNB1/DEK/MKI67/H2AX/DNMT1/HMGB2/NOP56/CENPE/TOP2A"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",199,-0.425598333158411,-2.13029522490196,1.2846244540406e-09,6.58370032695809e-08,5.20610962953297e-08,2372,"tags=40%, list=17%, signal=34%","KNL1/ORC6/STMN1/DMD/E2F3/HMGB3/MAP3K20/FBXO5/SMC4/SFPQ/TROAP/XPO1/BIRC5/PLK4/CENPA/SMC1A/PRC1/PRP4K/UBE2S/FOXN3/MYBL2/MEIS2/FANCC/RAD21/SMAD3/TNPO2/ESPL1/KIF15/DKC1/KIF22/CASP8AP2/GINS2/SRSF1/HMGA1/SLC12A2/SRSF2/ODF2/MTF2/KMT5A/CDC25B/UPF1/CCNB2/ILF3/NEK2/CHAF1A/PDS5B/EFNA5/HNRNPD/CBX1/CDK4/H2AZ1/MCM2/TACC3/MCM5/CKS2/NOTCH2/SMARCC1/CCNA2/POLE/KIF23/DBF4/CDC7/KPNB1/CTCF/NASP/RPS6KA5/CCNF/ATRX/PLK1/TFDP1/BARD1/LMNB1/TLE3/SMC2/MKI67/H2AX/CENPF/HMGN2/CENPE/TOP2A"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",193,0.5627784133174,1.92660945190045,1.6071045066501e-09,6.58912847726543e-08,5.21040197945508e-08,1884,"tags=33%, list=13%, signal=29%","SERP1/RPN1/SSR1/SDF2L1/CDKN1A/CALR/RAB1A/GLRX/FKBP2/PNP/UFM1/YKT6/WARS1/XBP1/HSPA5/PSMC4/ME1/PSMG1/ATP6V1D/PSMD12/PSMA3/USO1/NFKBIB/FADS2/HSP90B1/UCHL5/EPRS1/LGMN/PSMD14/HK2/ATP5MC1/PSAT1/PSMC2/ATP2A2/TXNRD1/PSMD13/RDH11/CANX/ENO1/PGK1/LDHA/GGA2/BCAT1/CTH/SHMT2/EDEM1/ERO1A/CTSC/TBK1/TES/GPI/SLC7A5/SLC1A5/SLC2A3/RRM2/SLC7A11/PSMB5/HMGCS1/SEC11A/EEF1E1/PITPNB/VLDLR/TUBA4A/NMT1"
"KEGG_PROTEIN_EXPORT","KEGG_PROTEIN_EXPORT",23,0.86542930646532,2.26155918681602,4.36050403232817e-09,1.48983887771212e-07,1.17810108943603e-07,802,"tags=65%, list=6%, signal=62%","SEC61B/SEC61A1/SRP54/SEC61G/SRPRB/SRP19/SRPRA/SEC11C/HSPA5/SRP72/SPCS2/SPCS1/SRP68/SEC62/SPCS3"
"KEGG_VIBRIO_CHOLERAE_INFECTION","KEGG_VIBRIO_CHOLERAE_INFECTION",46,0.707473204452768,2.09625228530829,7.21481440390687e-07,2.11290993257273e-05,1.67079912511528e-05,1167,"tags=39%, list=8%, signal=36%","KDELR3/KDELR2/SEC61B/PDIA4/SEC61A1/SEC61G/KDELR1/ATP6V0D1/ATP6V1D/ARF1/ATP6V0B/ATP6V1E1/TJP2/ATP6V1B2/ATP6V0E1/ERO1A/GNAS/TJP1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",199,0.512343691618106,1.75592161525387,1.91858992830297e-06,4.91638669127635e-05,3.88766906524548e-05,2693,"tags=38%, list=19%, signal=31%","ACADVL/TIMM17A/ACO2/ATP6V1D/IDH2/SUPV3L1/MDH1/ACADSB/ATP6V0B/HADHA/ATP6V1E1/ATP5MC1/CYCS/FH/NDUFA8/OAT/COX17/LDHA/ATP6V0E1/MRPS11/HTRA2/UQCRH/UQCRQ/GPI/NQO2/NDUFA1/PDHX/MPC1/COX15/MRPS30/AIFM1/ATP6V1G1/CASP7/SURF1/NDUFA2/COX4I1/ATP5PF/ACAT1/HCCS/COX6A1/COX6B1/MDH2/COX7A2/ATP6AP1/HADHB/VDAC1/RETSAT/MRPS22/AFG3L2/ISCU/GLUD1/TOMM70/PDHA1/POLR2F/VDAC2/UQCRC2/CYB5R3/ECI1/UQCR11/ATP5ME/ATP5F1A/NDUFC2/GOT2/ATP6V0C/MGST3/BDH2/UQCRFS1/MFN2/OPA1/NDUFAB1/HSPA9/ATP5F1C/PHB2/TIMM8B/ATP5PB"
"KEGG_PROTEASOME","KEGG_PROTEASOME",40,0.686784999156834,1.99277688986816,2.71573650181461e-05,0.000618584425413329,0.000489150200326843,3303,"tags=78%, list=24%, signal=59%","PSMC4/PSMD12/PSMA3/SEM1/PSMD3/PSMD14/PSMA5/PSMC2/PSME4/PSMB2/PSMD13/PSMB1/PSMD4/PSMD7/PSMD11/PSMD6/PSMB5/POMP/PSMB3/PSMB7/PSMC1/PSMA6/PSMB10/PSMA2/PSMB6/PSMB4/PSMD2/PSMD1/PSMA1/PSMF1/PSMC5"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",28,-0.659534537577583,-2.29376509377729,3.22462122670688e-05,0.00066104735147491,0.000522728072539852,1422,"tags=36%, list=10%, signal=32%","NRP1/VEGFA/CDK5R1/PTCH1/DPYSL2/CELSR1/TLE1/TLE3/HEY1/AMOT"
