"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",94,0.750190750136935,2.49966233334181,7.93321171083206e-17,1.62630840072057e-14,1.31941836874891e-14,2031,"tags=56%, list=14%, signal=49%","SEC24D/AP2B1/ARFGAP3/COPE/SEC31A/ICA1/COPB2/TMED2/RAB2A/KRT18/ARCN1/USO1/TMED10/CD63/GOSR2/ARF1/SEC22B/BET1/GBF1/YKT6/COPB1/CLTC/ATP7A/LMAN1/AP3S1/AP1G1/TMX1/GOLGA4/BNIP3/MON2/GNAS/DST/VAMP7/AP3B1/CTSC/STX16/KIF1B/RPS6KA3/ANP32E/VPS45/CLCN3/IGF2R/ZW10/TPD52/ARFGEF2/NAPA/STX12/VAMP4/RAB5A/YIPF6/ATP1A1/RER1/SNX2"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.506906780165519,-2.43042751107135,1.59839424761102e-15,1.09223606920087e-13,8.86127337272076e-14,1957,"tags=48%, list=14%, signal=41%","CDCA8/LUC7L3/ASF1B/RANBP1/RFC3/SNRPB/KIF4A/BRMS1L/STMN1/PPP1R8/POLD1/SYNCRIP/NCAPD2/KPNA2/BUB1B/SMC3/IPO7/SPC25/DEPDC1/PNN/NUP153/KIF22/XPO1/CDCA3/HMGA1/ESPL1/PDS5B/MRE11/SLBP/MYBL2/CDC25B/E2F8/DCK/CIT/ILF3/BIRC5/LYAR/TIMELESS/POLE4/SPAG5/MCM7/TP53/TMPO/PA2G4/MCM2/NBN/RPA1/HELLS/UBE2S/SSRP1/POLD3/TIPIN/TACC3/GINS1/CKS2/MMS22L/MCM4/SPC24/RBBP7/CCNB2/CCNE1/KIF18B/RNASEH2A/CDK4/NASP/TUBG1/HMGB2/CTCF/SHMT1/HNRNPD/PCNA/MCM5/DUT/LIG1/DNMT1/TK1/H2AZ1/POLE/TUBB/RAN/BARD1/SRSF1/PLK1/MKI67/CENPM/CTPS1/SRSF2/DCTPP1/DEK/UNG/LMNB1/CENPE/NOP56/H2AX/TOP2A"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",110,0.709152526369242,2.41695895822968,1.43446702719883e-15,1.09223606920087e-13,8.86127337272076e-14,1070,"tags=45%, list=8%, signal=42%","SERP1/KDELR3/HERPUD1/HYOU1/SSR1/WIPI1/SRPRB/DNAJB9/SEC31A/PREB/XBP1/CALR/FKBP14/HSPA5/BAG3/HSP90B1/PDIA5/SHC1/EXOSC1/DNAJC3/WFS1/SLC30A5/SRPRA/PDIA6/STC2/CEBPB/ATF6/XPOT/PSAT1/ATF4/EIF2AK3/YIF1A/GOSR2/ARFGAP1/ATP6V0D1/ATF3/EDEM1/CHAC1/TSPYL2/EEF2/IARS1/MTHFD2/NOLC1/TARS1/CKS1B/EIF4EBP1/SPCS1/SPCS3/ERO1A/ASNS"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",199,-0.486498775502964,-2.31605450696741,4.70208711595104e-14,2.40981964692491e-12,1.95507832715859e-12,2296,"tags=42%, list=16%, signal=36%","MT2A/EFNA5/EZH2/HMGB3/E2F3/TRAIP/RPA2/TROAP/SNRPD1/MTF2/MEIS2/KIF4A/CHMP1A/STMN1/HNRNPU/SYNCRIP/NUP98/KPNA2/KIF22/XPO1/SMAD3/HMGA1/ESPL1/DKC1/TNPO2/PDS5B/MAP3K20/ODF2/PRC1/MYBL2/KNL1/CDC25B/ATF5/ILF3/PRP4K/BIRC5/SLC12A2/NEK2/CBX1/HSPA8/TMPO/SFPQ/KMT5A/RBM14/MCM2/CHAF1A/NUP50/UBE2S/TACC3/CKS2/NOTCH2/SMARCC1/CCNB2/ATRX/UPF1/CDC7/CDK4/SMC2/NASP/CTCF/HNRNPD/DBF4/MCM5/GINS2/H2AZ1/POLE/KIF23/BARD1/SRSF1/PLK1/RPS6KA5/MKI67/CENPF/CCNF/CCNA2/SRSF2/KPNB1/TLE3/LMNB1/CENPE/TFDP1/H2AX/TOP2A/HMGN2"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",193,0.577743561028009,2.0438157070895,5.62198907205351e-11,2.30501551954194e-09,1.87005110186201e-09,1955,"tags=38%, list=14%, signal=33%","SERP1/RPN1/SSR1/SDF2L1/GLRX/CDKN1A/RAB1A/PNP/XBP1/UFM1/CALR/HSPA5/FKBP2/HSP90B1/PSMC4/ME1/WARS1/CTH/SLC7A11/USO1/ATP6V1D/LGMN/NFKBIB/PSAT1/PSMA3/BCAT1/PSMD12/EDEM1/PSMG1/EPRS1/YKT6/DDIT3/UCHL5/VLDLR/PGK1/SHMT2/SLC1A5/RDH11/FADS2/HK2/MTHFD2/TES/CANX/SLC2A3/PSMD14/LDHA/TBK1/ATP2A2/BHLHE40/ERO1A/CTSC/ATP5MC1/ASNS/P4HA1/ENO1/STC1/PPP1R15A/SLC7A5/PSMC2/TXNRD1/STARD4/RRM2/SLC1A4/DDIT4/GGA2/EEF1E1/PRDX1/PSMD13/GSR/HMGCS1/PITPNB/GPI/NIBAN1/GCLC"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",164,0.587655706320955,2.06284217798431,1.00469693993665e-10,3.43271454478356e-09,2.78494941245599e-09,2319,"tags=39%, list=17%, signal=33%","KDELR3/LOX/TMEM45A/GLRX/CDKN1A/ANXA2/HDLBP/HSPA5/JMJD6/CA12/MXI1/STC2/P4HA2/ATF3/EFNA1/CAV1/DDIT3/ATP7A/VLDLR/PGK1/SIAH2/CCN1/HK2/CITED2/TES/SLC2A3/LDHA/FOSL2/GCNT2/XPNPEP1/BHLHE40/PLAUR/NOCT/ERO1A/UGP2/JUN/ISG20/RRAGD/P4HA1/ENO1/MAFF/STC1/PPP1R15A/NEDD4L/KLF7/FOS/ADORA2B/PNRC1/KLHL24/PPARGC1A/TPD52/DDIT4/ADM/GPI/IDS/NDRG1/DUSP1/PRKCA/KDM3A/PRDX5/PLAC8/SELENBP1/NFIL3/PAM"
"KEGG_PROTEIN_EXPORT","KEGG_PROTEIN_EXPORT",23,0.858418769560651,2.27427776717384,2.42364691174708e-08,7.09782309868787e-07,5.75843927903817e-07,1390,"tags=74%, list=10%, signal=67%","SEC61B/SRP54/SEC61A1/SEC61G/SRP19/SRPRB/HSPA5/SRP72/SEC11C/SRPRA/SPCS2/SPCS1/SRP68/SPCS3/SEC62/SRP14/SEC63"
"KEGG_VIBRIO_CHOLERAE_INFECTION","KEGG_VIBRIO_CHOLERAE_INFECTION",46,0.719357066306113,2.1648399793611,1.37302318589955e-07,3.5183719138676e-06,2.85444293910696e-06,1165,"tags=37%, list=8%, signal=34%","KDELR3/KDELR2/SEC61B/PDIA4/SEC61A1/SEC61G/KDELR1/ATP6V1D/ARF1/ATP6V0D1/TJP2/ATP6V1E1/GNAS/ATP6V1B2/ERO1A/TJP1/ATP6V0E1"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",175,0.519233726928126,1.8276712787374,7.26016739550214e-07,1.65370479564215e-05,1.34164496899338e-05,1976,"tags=30%, list=14%, signal=26%","KDELR3/PLOD1/CHPF/GLRX/GFPT1/ANG/HDLBP/ECD/HSPA5/COPB2/GMPPB/CHPF2/PSMC4/ME1/CTH/HAX1/MXI1/STC2/GALE/P4HA2/VLDLR/PGK1/B4GALT4/HK2/GNE/SLC35A3/CITED2/NOL3/GALK2/LDHA/MDH1/ERO1A/UGP2/ISG20/RRAGD/P4HA1/ENO1/B4GALT1/STC1/GNPDA1/ADORA2B/MDH2/DDIT4/PRPS1/PMM2/TPST1/MET/NT5E/CHST4/QSOX1/GCLC/KIF20A"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",151,0.544959077629975,1.89407261725267,1.2746494707243e-06,2.61303141498482e-05,2.11994333025726e-05,1530,"tags=27%, list=11%, signal=24%","PHLDA2/CDKN1A/JUNB/GADD45A/BTG3/NR4A2/BIRC2/DNAJB4/CEBPB/LITAF/ATF3/TNFSF9/MYC/EFNA1/IER5/GADD45B/CCN1/SLC2A3/PER1/SLC16A6/FOSL2/BHLHE40/PLAUR/SGK1/JUN/KDM6B/GEM/MAFF/B4GALT1/SOCS3/RIPK2/PPP1R15A/FOSB/MCL1/FOS/IER2/PNRC1/DUSP5/DENND5A/TRIP10/SAT1"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",28,-0.688848252762566,-2.34151668263548,6.22139265603393e-06,0.000115944135862451,9.40650755649149e-05,1809,"tags=39%, list=13%, signal=34%","CDK5R1/LDB1/PTCH1/MYH9/CELSR1/NRP1/DPYSL2/TLE1/TLE3/HEY1/AMOT"
"KEGG_N_GLYCAN_BIOSYNTHESIS","KEGG_N_GLYCAN_BIOSYNTHESIS",46,0.667027723876043,2.00735955984147,1.06639334805113e-05,0.000182175530292067,0.00014779837630884,1243,"tags=35%, list=9%, signal=32%","RPN1/MGAT2/MAN1A1/MOGS/DAD1/MAN1A2/STT3A/DDOST/DPM1/MGAT1/RPN2/DPAGT1/ALG2/B4GALT3/B4GALT1/ALG14"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",92,0.562317955321108,1.87447602799675,3.19235792622151e-05,0.000503410288365699,0.000408415022140079,1788,"tags=28%, list=13%, signal=25%","EMP3/SELENOS/CDKN1A/RGS16/SGMS2/LPAR1/TNFSF9/MYC/TIMP1/PDPN/SLC31A1/ATP2A2/SRI/PLAUR/KIF1B/SLC11A2/RIPK2/CD70/ICAM4/ADORA2B/SLC7A1/LAMP3/CD55/ADM/CD40/MET"
