"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",164,0.57343403555012,2.72735572220968,5.93476794232169e-18,1.21662742817595e-15,9.4956287077147e-16,2532,"tags=44%, list=18%, signal=36%","STC2/DDIT4/ATF3/DDIT3/NDRG1/JUN/STC1/DUSP1/CITED2/GLRX/VLDLR/BNIP3L/PNRC1/CAV1/BHLHE40/VEGFA/KLHL24/TPD52/BTG1/KLF7/IDS/KLF6/ZNF292/PPP1R15A/P4HA1/MXI1/CDKN1B/TNFAIP3/ANKZF1/AKAP12/EGFR/NOCT/SLC6A6/VHL/KDELR3/SLC2A3/TGM2/FAM162A/CCNG2/NEDD4L/ANXA2/HMOX1/MAFF/GAA/PLAUR/ALDOC/SDC4/HSPA5/ISG20/GCNT2/TMEM45A/RORA/PGM2/ETS1/CASP6/PDK1/CA12/P4HA2/PIM1/PLAC8/STBD1/SULT2B1/CXCR4/ENO3/NDST1/PGK1/HOXB9/SRPX/CCN1/PFKL/ZFP36/CCN2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.483015367570311,-2.34674319906567,2.59194560660417e-13,2.65674424676928e-11,2.07355648528334e-11,4136,"tags=59%, list=30%, signal=42%","PHB2/GOT2/CCT2/PTGES3/PSMA7/XPO1/UBE2L3/RANBP1/RPL6/YWHAQ/CNBP/EIF3J/CTPS1/SNRPG/CDC20/RACK1/DEK/MCM6/PSMA1/PABPC4/PSMB3/EIF4E/C1QBP/PSMA6/PPM1G/MRPL23/NPM1/SNRPD2/ETF1/NDUFAB1/RUVBL2/ABCE1/RAD23B/MCM4/CDK4/RPL14/CCT4/RPS3/HNRNPU/NCBP1/PSMD8/LSM2/STARD7/NOP56/MCM5/EEF1B2/XRCC6/SNRPD1/NOLC1/RRP9/MCM7/APEX1/ORC2/SRM/PSMD7/EIF1AX/PA2G4/SYNCRIP/G3BP1/RPS5/TRA2B/PSMD14/CCT5/PPIA/CCT3/TXNL4A/RSL1D1/HNRNPD/MRPL9/PRPF31/POLD2/COX5A/PWP1/HSPE1/TCP1/U2AF1/VBP1/ACP1/SNRPB2/NHP2/RAN/KPNB1/PSMD3/KARS1/TRIM28/DDX21/H2AZ1/SF3A1/COPS5/KPNA2/EIF2S1/BUB3/TFDP1/RNPS1/DDX18/CCT7/SF3B3/ERH/SLC25A3/YWHAE/CCNA2/NME1/UBE2E1/POLE3/AIMP2/EIF3B/PSMD1/VDAC3/PCNA/ODC1/SRSF3/PHB1/EIF4G2/SRSF1/TYMS/SRSF2/SRSF7/NOP16"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",199,-0.474419001575578,-2.29542292548457,3.5056020231034e-12,2.39549471578732e-10,1.86965441232181e-10,3089,"tags=44%, list=22%, signal=35%","UQCR10/NDUFA1/CS/NDUFB8/LDHB/NDUFAB1/ATP6V1F/ATP5F1D/NDUFA3/ATP5PO/HADHB/UQCR11/HCCS/DLAT/ACAA1/SLC25A20/MRPS15/ATP5PF/VDAC2/NDUFA6/UQCRFS1/ATP6V1E1/MTRF1/TIMM50/COX11/BCKDHA/SLC25A4/NDUFA4/HSD17B10/NDUFB6/POR/NDUFS3/NDUFS6/ISCA1/NDUFS8/ATP5MC3/ALAS1/FXN/MRPL34/GPI/PMPCA/COX5A/COX7C/ECHS1/MPC1/CYCS/COX6A1/SUPV3L1/ATP5PD/SDHA/ATP5MC1/HTRA2/COX15/TIMM13/NDUFB1/GRPEL1/NDUFB4/MFN2/COX17/NDUFB7/MRPL11/MRPL35/UQCRQ/TIMM10/ATP5ME/COX6B1/DLST/ATP5F1A/SLC25A3/TOMM22/NDUFB2/ATP6AP1/NDUFA2/BDH2/ATP6V1G1/ATP6V0C/BAX/MRPS12/NDUFC2/TIMM8B/VDAC3/MDH1/MRPL15/IDH3A/NDUFA8/IDH3B/MRPS11/ATP6V0B"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",151,0.508715395816253,2.38125312808958,1.44675651639385e-11,7.4146271465185e-10,5.78702606557541e-10,1862,"tags=34%, list=13%, signal=30%","CEBPB/ATF3/MYC/JUN/DUSP1/SAT1/PNRC1/BHLHE40/VEGFA/BTG1/GEM/G0S2/KLF6/DNAJB4/PPP1R15A/NFKBIA/TRIB1/NFE2L2/KLF9/B4GALT1/TNFAIP3/IER2/JAG1/GADD45B/BTG3/BCL3/BCL6/SLC2A3/GADD45A/HES1/MAP3K8/ID2/IER5/JUNB/MAFF/RIPK2/PHLDA1/PLAUR/TNFAIP8/RHOB/SLC16A6/SDC4/LITAF/CCNL1/DRAM1/TRIP10/CXCL3/GFPT2/KDM6B/LIF/NAMPT"
"KEGG_SPLICEOSOME","KEGG_SPLICEOSOME",125,-0.502646665454315,-2.28293478738524,2.84786855084503e-09,1.16762610584646e-07,9.1131793627041e-08,3802,"tags=52%, list=27%, signal=38%","MAGOHB/DDX42/DHX16/RBM22/SNRPG/SNRNP200/PRPF8/HNRNPK/SNRNP40/DHX8/SNRNP27/USP39/SNRPD2/CWC15/SF3A3/PRPF3/HNRNPU/RBM25/SNRPC/NCBP1/LSM2/MAGOH/SNRPD1/U2AF2/SNU13/EFTUD2/TRA2A/TRA2B/SRSF5/TXNL4A/THOC1/PPIL1/PHF5A/PQBP1/SF3B4/PRPF31/HSPA1B/U2AF1/SNRPB2/SNRPE/SNRPB/DDX23/CHERP/PRPF4/SF3A1/PUF60/RBM8A/BUD31/SF3B3/LSM3/PRPF38A/LSM4/RBMX/BCAS2/ISY1/SRSF8/PRPF19/SRSF3/SRSF1/ALYREF/HSPA8/SRSF2/SRSF6/WBP11/SRSF7"
"KEGG_OXIDATIVE_PHOSPHORYLATION","KEGG_OXIDATIVE_PHOSPHORYLATION",115,-0.507589047416648,-2.26019840907005,3.46424644211028e-09,1.18361753438768e-07,9.23799051229408e-08,4656,"tags=66%, list=33%, signal=45%","NDUFS1/MT-CYB/SDHD/ATP6V1G2/COX7A2/NDUFC1/ATP5MF/MT-ND5/NDUFB5/UQCRC2/SDHC/COX7B/NDUFA9/NDUFB3/ATP5F1E/ATP6V0E1/ATP6V0A1/UQCRH/ATP6V1H/NDUFA11/COX4I1/NDUFS7/UQCR10/NDUFA1/NDUFB8/NDUFAB1/ATP6V1F/ATP5F1D/ATP6V1A/NDUFA3/ATP5PO/UQCR11/ATP6V0E2/ATP5PF/NDUFA6/UQCRFS1/ATP6V1E1/COX11/NDUFB9/NDUFA4/MT-ND4L/NDUFB6/NDUFS3/NDUFS6/NDUFB10/NDUFS8/ATP5MC3/COX5A/COX7C/COX6A1/ATP5PD/SDHA/ATP5MC1/COX15/NDUFB1/MT-ND6/NDUFS5/MT-ND1/NDUFB4/COX17/NDUFB7/UQCRQ/MT-ND3/ATP5ME/MT-ND2/COX6B1/ATP5F1A/NDUFB2/ATP6AP1/ATP6V0D1/NDUFA2/ATP6V1G1/ATP6V0C/NDUFC2/NDUFA8/ATP6V0B"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",145,-0.451195244745134,-2.10026507580067,2.20524511511138e-08,6.45821783711191e-07,5.04056026311174e-07,3134,"tags=41%, list=22%, signal=32%","ERCC3/MPC2/TAF10/DDB1/POLD4/NUDT9/SF3A3/SAC3D1/SNAPC4/ERCC1/ARL6IP1/TAF9/TARBP2/POLR3C/POLR2H/POLR2G/ELOA/SNAPC5/RFC5/DCTN4/RPA3/LIG1/POLR2J/GTF3C5/TMED2/POLR2D/CLP1/GUK1/ITPA/GTF2B/RPA2/ADCY6/NELFB/USP11/POLR2E/COX17/BOLA2/POLR2A/SUPT4H1/NELFE/NME4/CANT1/TAF13/NME1/GTF2A2/SUPT5H/POLA2/POLE4/EDF1/PCNA/POM121/POLR2C/RAE1/ADRM1/ALYREF/TYMS/CETN2/SRSF6/UMPS/POLR2K"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.586389248603034,-2.32687410317609,3.33231908398787e-07,8.53906765271891e-06,6.66463816797573e-06,3069,"tags=67%, list=22%, signal=53%","NPM1/MPHOSPH10/RABEPK/MCM4/CDK4/MAP3K6/MYBBP1A/NOP56/MCM5/UNG/NOLC1/RRP9/SRM/WDR43/PA2G4/NOC4L/HSPE1/SUPV3L1/PES1/WDR74/EXOSC5/DUSP2/FARSA/DDX18/NIP7/IMP4/NDUFAF4/PUS1/AIMP2/RRP12/NOP2/DCTPP1/PHB1/SLC19A1/TFB2M/GRWD1/PPRC1/IPO4/NOP16"
"KEGG_PROTEASOME","KEGG_PROTEASOME",40,-0.611025589696921,-2.22562324503766,3.06978886107274e-06,6.99229685022123e-05,5.45740241968486e-05,2493,"tags=52%, list=18%, signal=43%","PSMD8/PSMD12/PSMF1/POMP/PSMB5/PSMB6/PSMB10/PSMD7/PSMD14/PSMC1/PSMD3/PSMC3/PSMC2/PSMD6/PSMB7/PSMB4/PSMD13/PSMD11/PSMC5/PSMD1/PSME3"
"KEGG_PYRIMIDINE_METABOLISM","KEGG_PYRIMIDINE_METABOLISM",91,-0.474510647208021,-2.04282057042891,3.76254752208599e-06,7.71322242027627e-05,6.02007603533758e-05,2592,"tags=34%, list=18%, signal=28%","POLE/NME6/POLR3C/POLR2H/POLR2G/POLR2J/POLR2D/POLR1A/TYMP/POLD2/ITPA/TXNRD1/POLR2E/ENTPD6/TK1/POLR2A/POLR2L/NME4/CANT1/NME1/DTYMK/ENTPD3/POLE3/POLA2/POLE4/POLR1B/POLR2C/TYMS/POLR3H/UMPS/POLR2K"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",110,0.443763327465267,2.00302329249117,9.91595525738666e-06,0.000180728652022602,0.000141056508895689,1281,"tags=25%, list=9%, signal=23%","ATF4/CEBPB/CHAC1/STC2/DDIT4/HERPUD1/ATF3/ASNS/CEBPG/MTHFD2/HSP90B1/VEGFA/EDEM1/SEC31A/XBP1/PSAT1/PDIA5/EIF4A2/WIPI1/SLC1A4/KDELR3/EIF2AK3/IFIT1/CKS1B/EIF4EBP1/TARS1/IARS1/HSPA5"
"KEGG_PARKINSONS_DISEASE","KEGG_PARKINSONS_DISEASE",112,-0.436563779320199,-1.9329847821216,1.05792381671767e-05,0.000180728652022602,0.000141056508895689,3089,"tags=45%, list=22%, signal=35%","UQCR10/NDUFA1/NDUFB8/UBE2G2/NDUFAB1/ATP5F1D/NDUFA3/ATP5PO/UQCR11/ATP5PF/VDAC2/PARK7/NDUFA6/UQCRFS1/NDUFB9/SLC25A4/NDUFA4/MT-ND4L/NDUFB6/NDUFS3/NDUFS6/NDUFB10/NDUFS8/ATP5MC3/UCHL1/COX5A/COX7C/CYCS/COX6A1/ATP5PD/SDHA/ATP5MC1/HTRA2/NDUFB1/MT-ND6/NDUFS5/MT-ND1/NDUFB4/NDUFB7/UQCRQ/MT-ND3/MT-ND2/COX6B1/ATP5F1A/NDUFB2/NDUFA2/NDUFC2/VDAC3/UBB/NDUFA8"
