"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEC61A1",25151.6697314416,0.609828171519883,0.039230183471819,759.35430165178,4.8850082526645e-163,5.11118413476287e-159
"SEC24D",4343.55655223214,1.22920380067704,0.0745922189847178,714.314620508554,2.77092521708384e-153,1.44960952731741e-149
"SLC33A1",4569.21871697239,0.672551218326544,0.0512351920673888,559.170135497341,1.0612370632226e-119,3.70124113083269e-116
"PDIA4",25321.3049031855,0.443437586097321,0.0351650728848444,546.91420117506,4.75953635694803e-117,1.24497572256868e-113
"SSR1",12714.2254756856,0.685353458265611,0.0498785903784586,505.640213164194,4.03783733512597e-108,8.44957840748461e-105
"CREB3L2",11289.9707217385,0.770856191013139,0.0562382492441425,454.466033625193,4.70254719575483e-97,8.20045855153047e-94
"SERP1",9582.65075223606,0.532756229709316,0.0426884917795887,426.514884420861,5.18090393050991e-91,7.74397111784645e-88
"DNAJB9",1545.22788588684,0.741114521863858,0.0785629998648218,408.849186243704,3.40549053299849e-87,4.45395593084539e-84
"XBP1",8257.59128957666,0.377770509552849,0.0474352674062427,370.54136384402,6.42850057823637e-79,7.47348906112079e-76
"SSR3",17265.3390652605,0.772941331770498,0.0542955894255669,367.745680510073,2.58174425226082e-78,2.7012790111405e-75
"HSPA5",55463.4539107303,0.299358389200408,0.0390349789780255,327.741633124236,1.11931522469063e-69,1.06467229053983e-66
"ARMCX3",3237.07363860278,0.79378691951978,0.0696275143815975,316.947259609566,2.39037439426872e-67,2.08420727393614e-64
"STT3A",16580.1100129883,0.4029230558926,0.0389878124290845,284.586878863983,2.28544487576679e-60,1.8394315180883e-57
"ERN1",61737.8550524154,-0.453654771522655,0.054846286591443,279.002911200723,3.65568223999471e-59,2.73210023407605e-56
"SSR2",12197.962547525,0.530680117713038,0.0553089473855046,270.300490361326,2.74797462389879e-57,1.91680389932353e-54
"SRPRB",7302.08563818252,0.464088972953716,0.0525500642930485,257.329053723585,1.71603897300412e-54,1.12218223590888e-51
"TMED10",16485.7064197835,0.638196517545815,0.0506777135117366,255.249766738653,4.81440246912664e-54,2.96312311967483e-51
"SRPRA",9378.36431138227,0.487824352496374,0.0516727762019879,253.343766308673,1.23935407202931e-53,7.20408980869036e-51
"HSPA13",5784.41585218085,0.730522657694334,0.0708548175582975,238.49153325307,1.96015926337358e-50,1.07942875645673e-47
"LRRC59",17687.5513148582,0.332474952395336,0.0361828154159514,230.032725354414,1.29881592855706e-48,6.79475553024624e-46
"ARFGAP3",3115.08921220672,0.597392082258557,0.0666400977624319,229.122271584715,2.03958911937858e-48,1.01620099790753e-45
"PGM3",4310.06271571184,0.678420235299557,0.0670611296163874,224.676315018709,1.84728640776106e-47,8.78552622018362e-45
"CDC6",9245.60466182006,0.413420067973937,0.0446863858650829,212.28039044239,8.58719530847853e-45,3.90642715272221e-42
"HYOU1",17781.0444546099,0.242395670060619,0.037804993557544,209.102826715518,4.14345051566216e-44,1.80637178105721e-41
"TMEM39A",3015.8948996756,0.567166053022396,0.0687516056343082,202.100034453258,1.32845915053467e-42,5.55986723681772e-40
"UGDH",2578.98724952978,0.726068029595021,0.0760205404421451,200.961448419649,2.33431518887418e-42,9.39382300815023e-40
"ARF4",8791.30216034728,0.483111773997822,0.0489035418296159,197.345512570274,1.39811501331794e-41,5.41795458679465e-39
"PREB",7470.85031281637,0.377883871135049,0.0501440130230482,196.255328953245,2.39823462960969e-41,8.96168890343079e-39
"TRAM1",11161.0294206117,0.52371934113847,0.0467326643797618,194.083684538655,7.02546140091508e-41,2.53473802199222e-38
"CANX",85803.1137443185,0.441080005849166,0.043179329905502,189.443785069166,6.97936696237765e-40,2.43417055091191e-37
"MLEC",21590.0913413773,0.317963007826762,0.036697674682378,189.182088106293,7.94417376966408e-40,2.68128677909662e-37
"SELENOS",3717.44573198205,0.50220910582363,0.0590570562618702,188.025695498837,1.40773636476924e-39,4.60285799518144e-37
"GFPT1",4921.37963759176,0.501471842041372,0.0591324862772245,185.488641227776,4.93853681374425e-39,1.56581547521837e-36
"OSBP",6888.13643252741,0.3669508951297,0.0402058645870363,183.649795946955,1.22636003553185e-38,3.7739426622852e-36
"ALG2",2387.14021197313,0.491507766366309,0.0706423908433071,181.606762500581,3.36861409910616e-38,1.00702312339851e-35
"SURF4",15616.0535839389,0.335822730665146,0.0411891786397596,179.451450910114,9.78009334013193e-38,2.84247546160557e-35
"DNAJC3",4152.54911524544,0.53433064366186,0.0678954911321674,172.804355471098,2.61537060824754e-36,7.39584396597136e-34
"TMEM214",5609.08050067844,0.374348769756982,0.0503345589046225,159.950176895895,1.49834501879724e-33,4.12557471886197e-31
"SPCS3",10349.0264800406,0.606973599895861,0.0609873999264538,158.748105476475,2.71270618132667e-33,7.27770378851818e-31
