gene_set,gene,status,T0_CPM_Cyto,T0_CPM_ER
G1/S,CCNE1,used,35.19,34.61
G1/S,CCNE2,used,25.78,28.65
G1/S,CDC6,used,164.98,182.41
G1/S,CDKN1A,used,20.45,15.48
G1/S,E2F1,used,69.24,67.26
G1/S,E2F2,used,30.59,32.3
G1/S,E2F3,used,99.6,109.99
G1/S,MCM2,used,467.88,480.86
G1/S,MCM3,used,403.0,430.92
G1/S,MCM4,used,726.86,667.98
G1/S,MCM5,used,256.14,276.38
G1/S,MCM6,used,329.36,342.15
G1/S,MCM7,used,712.82,715.59
G1/S,PCNA,used,176.45,184.53
G1/S,RRM1,used,360.45,368.0
G1/S,RRM2,used,297.2,313.61
G1/S,TYMS,used,27.28,29.6
G1/S,DHFR,used,299.87,325.46
G1/S,CDC25A,used,194.74,197.16
G1/S,CDKN2C,used,92.44,105.39
G1/S,RB1,used,83.8,102.76
G1/S,CCND1,used,66.68,60.03
G1/S,CCND2,used,63.7,59.29
G1/S,CCND3,used,75.62,67.2
G1/S,CDK4,used,305.08,296.59
G1/S,CDK6,used,170.59,173.67
S,PCNA,used,176.45,184.53
S,MCM5,used,256.14,276.38
S,MCM6,used,329.36,342.15
S,MCM7,used,712.82,715.59
S,MCM2,used,467.88,480.86
S,MCM3,used,403.0,430.92
S,MCM4,used,726.86,667.98
S,RRM1,used,360.45,368.0
S,RRM2,used,297.2,313.61
S,TYMS,used,27.28,29.6
S,DHFR,used,299.87,325.46
S,POLA1,used,145.56,151.04
S,RFC2,used,100.78,103.99
S,RFC4,used,76.72,63.81
S,FEN1,used,214.04,224.43
S,GINS1,used,100.48,97.4
S,GINS2,used,115.62,115.89
S,GINS3,used,46.46,51.48
G2/M,CDK1,used,160.9,167.34
G2/M,CCNA2,used,203.55,223.55
G2/M,CCNB1,used,356.52,315.61
G2/M,CCNB2,used,85.16,81.77
G2/M,AURKA,used,169.64,162.29
G2/M,AURKB,used,126.98,110.27
G2/M,PLK1,used,263.75,264.55
G2/M,BUB1,used,208.84,210.96
G2/M,BUB1B,used,130.59,142.1
G2/M,BUB3,used,289.36,277.91
G2/M,MAD2L1,used,129.76,139.31
G2/M,MAD1L1,used,31.84,33.14
G2/M,CENPF,used,433.74,413.43
G2/M,CENPE,used,123.25,150.48
G2/M,KIF11,used,197.25,203.38
G2/M,KIF23,used,137.9,144.13
G2/M,CHEK1,used,84.93,85.72
G2/M,CHEK2,used,46.96,48.56
G2/M,WEE1,used,80.25,80.32
G2/M,CDC25B,used,106.16,86.46
G2/M,CDC25C,used,24.38,22.37
G2/M,INCENP,used,183.15,176.88
G2/M,BIRC5,used,286.18,284.13
G2/M,TOP2A,used,767.26,790.62
G2/M,CCNH,used,28.46,27.4
G2/M,CDK7,excluded_low_expr_T0,0.2,0.04
G2/M,NEK2,used,70.59,68.04
G2/M,LMNB1,used,287.28,305.16
M/G1,CDC20,used,254.19,249.37
M/G1,CDH1,used,3.15,4.66
M/G1,FZR1,used,77.22,85.66
M/G1,ANAPC1,used,140.12,154.13
M/G1,ANAPC2,used,61.08,55.79
M/G1,ANAPC4,used,40.5,33.75
M/G1,ANAPC5,used,231.96,238.12
M/G1,ANAPC10,used,13.07,14.62
M/G1,ANAPC11,used,88.94,86.43
M/G1,CDC16,used,51.56,55.1
M/G1,UBE2C,used,138.32,133.35
M/G1,PTTG1,used,85.21,83.78
M/G1,ESPL1,used,183.2,150.09
M/G1,CENPB,used,100.4,93.62
M/G1,CENPA,used,31.19,29.8
Arrest,CDKN1A,used,20.45,15.48
Arrest,CDKN2A,used,188.86,223.35
Arrest,CDKN2B,used,18.32,21.07
Arrest,CDKN2C,used,92.44,105.39
Arrest,GADD45A,used,14.29,12.87
Arrest,GADD45B,used,6.21,6.26
Arrest,GADD45G,excluded_low_expr_T0,0.3,0.04
Arrest,TP53,used,157.15,147.91
Arrest,MDM2,used,181.45,186.6
Arrest,CHEK1,used,84.93,85.72
Arrest,CHEK2,used,46.96,48.56
Arrest,ATM,used,78.35,71.71
Arrest,ATR,used,75.42,79.11
Arrest,WEE1,used,80.25,80.32
Arrest,BBC3,used,10.76,9.35
Arrest,PMAIP1,used,52.39,62.29
Arrest,RPRM,used,2.15,2.03
Arrest,CCNG1,used,307.78,317.95
Arrest,BTG2,used,40.75,33.1
Arrest,BTG1,used,47.48,48.37
