gene,cluster
A1BG,1
A1BG-AS1,4
A4GALT,3
AADAT,5
AAMDC,1
AAMP,0
AAR2,4
AARD,1
AARS1,0
AASDH,5
AASDHPPT,5
AASS,4
AATBC,4
AATK,0
ABAT,4
ABCA1,1
ABCA11P,5
ABCA2,2
ABCA3,2
ABCA5,0
ABCA7,5
ABCB1,0
ABCB10,0
ABCB6,0
ABCB8,4
ABCB9,2
ABCC1,2
ABCC2,5
ABCC4,0
ABCC8,1
ABCD1,0
ABCD3,0
ABCE1,5
ABCG1,1
ABCG2,1
ABCG4,3
ABHD11,0
ABHD12,2
ABHD13,5
ABHD14A,4
ABHD14B,0
ABHD16B,1
ABHD17A,0
ABHD17B,5
ABHD17C,0
ABHD18,5
ABHD3,4
ABHD4,0
ABHD5,5
ABHD6,4
ABHD8,4
ABI2,0
ABITRAM,5
ABL2,4
ABLIM2,5
ABLIM3,0
ABRACL,5
ABRAXAS1,1
ABRAXAS2,5
ABT1,0
ABTB1,4
ABTB2,0
ABTB3,2
ACAA2,0
ACACA,3
ACAD10,4
ACAD11,3
ACAD9,0
ACADL,0
ACADM,5
ACADS,0
ACADSB,4
ACADVL,3
ACAP3,4
ACAT2,0
ACBD3,0
ACBD4,4
ACCS,1
ACD,4
ACE,4
ACER2,4
ACLY,0
ACO1,0
ACO2,0
ACOT1,4
ACOT11,4
ACOT13,5
ACOT2,1
ACOT7,4
ACOX3,4
ACOXL,4
ACP1,2
ACP2,5
ACSL3,2
ACSL6,0
ACSM3,4
ACSS2,0
ACSS3,0
ACTA1,3
ACTA2,4
ACTG1,4
ACTG1P20,3
ACTG1P25,3
ACTL8,4
ACTMAP,4
ACTN1,0
ACTN2,5
ACTN4,0
ACTR10,5
ACTR1B,0
ACTR2,4
ACTR3,4
ACTR3C,4
ACTR5,3
ACTR6,5
ACTR8,5
ACTRT3,3
ACVR1,0
ACVR1C,1
ACVR2A,5
ACVR2B-AS1,4
ACYP1,5
ADAM11,0
ADAM15,0
ADAM19,2
ADAM1A,1
ADAM22,0
ADAM23,2
ADAM8,5
ADAM9,0
ADAMTS1,5
ADAMTS10,1
ADAMTS13,1
ADAMTS15,0
ADAMTS17,0
ADAMTS19,0
ADAMTS2,2
ADAMTS3,4
ADAMTS5,3
ADAMTS6,5
ADAMTS7,3
ADAMTSL4,4
ADAMTSL5,4
ADAP1,0
ADAP2,2
ADAR,2
ADAT1,0
ADAT2,5
ADAT3,0
ADCK5,4
ADCY10P1,5
ADCY3,2
ADCY5,4
ADCY6,0
ADCY7,0
ADD2,0
ADGRA2,0
ADGRB1,1
ADGRB2,0
ADGRB3,2
ADGRE5,0
ADGRG2,0
ADGRG6,0
ADGRL1,0
ADGRL1-AS1,5
ADGRL3,4
ADH5,0
ADI1,4
ADIPOR2,4
ADISSP,4
ADM,5
ADM5,4
ADNP,4
ADNP-AS1,3
ADNP2,5
ADO,5
ADORA1,2
ADORA2B,5
ADPGK,2
ADPRH,3
ADPRHL1,4
ADPRM,1
ADPRS,5
ADRA2C,0
ADRB2,5
ADRM1,0
ADSS1,0
ADSS2,5
AEN,5
AFAP1,0
AFAP1L1,0
AFAP1L2,1
AFDN-DT,1
AFF1,0
AFF1-AS1,4
AFF2,0
AFF3,0
AFF4,0
AFG1L,4
AFG2B,5
AFG3L1P,5
AFMID,5
AFTPH,5
AGA,4
AGAP2,1
AGAP4,5
AGAP5,3
AGAP6,5
AGAP7P,3
AGAP9,5
AGBL3,4
AGBL5,0
AGFG1,4
AGFG2,4
AGGF1,0
AGK,1
AGL,2
AGMAT,1
AGO2,0
AGPAT2,0
AGPAT3,0
AGPAT4,4
AGPAT5,2
AGPS,0
AGRN,2
AGTPBP1,4
AGTR1,1
AGTRAP,0
AHCTF1P1,4
AHCY,4
AHCYL2,0
AHDC1,1
AHI1,0
AHNAK,0
AHNAK2,1
AHRR,4
AHSA1,5
AHSA2P,3
AIF1L,0
AIFM2,1
AIMP2,5
AIRIM,5
AJM1,3
AJUBA,5
AK1,4
AK3,4
AK5,3
AK8,4
AK9,1
AKAP1,2
AKAP10,5
AKAP11,4
AKAP12,0
AKAP3,5
AKAP5,4
AKAP8,5
AKAP8L,5
AKAP9,4
AKIRIN1,5
AKIRIN2,4
AKNA,1
AKR1A1,5
AKR7A2,0
AKT1,0
AKTIP,5
ALAS1,5
ALDH16A1,4
ALDH1A1,3
ALDH1A2,0
ALDH1A3,1
ALDH1L2,3
ALDH2,0
ALDH3A1,5
ALDH3A2,0
ALDH3B1,3
ALDH4A1,0
ALDH5A1,0
ALDH8A1,4
ALDOA,2
ALDOC,2
ALG1,0
ALG10,5
ALG10B,5
ALG11,4
ALG14,5
ALG2,3
ALG5,5
ALKAL1,1
ALKBH1,3
ALKBH2,5
ALKBH3,1
ALKBH4,0
ALKBH6,4
ALKBH7,2
ALKBH8,5
ALOX12,1
ALPK1,4
ALPK3,0
ALPL,4
ALS2CL,4
ALX1,5
ALX3,1
ALX4,0
ALYREF,0
AMACR,1
AMBN,1
AMBRA1,3
AMDHD2,5
AMFR,0
AMH,4
AMIGO1,5
AMIGO2,3
AMIGO3,3
AMMECR1L,4
AMN1,4
AMOT,0
AMOTL1,0
AMOTL2,5
AMPH,0
AMT,5
AMY2B,5
AMZ2P1,5
ANAPC1,0
ANAPC10,5
ANAPC11,0
ANAPC13,5
ANAPC15,1
ANAPC16,5
ANAPC1P4,1
ANAPC2,4
ANAPC5,2
ANG,3
ANGPT1,5
ANK1,0
ANK2,0
ANK3,0
ANKAR,3
ANKDD1A,1
ANKEF1,4
ANKH,0
ANKHD1,4
ANKIB1,5
ANKLE1,1
ANKMY1,1
ANKRA2,5
ANKRD12,5
ANKRD13B,0
ANKRD13C,5
ANKRD13C-DT,5
ANKRD16,1
ANKRD18A,5
ANKRD18B,4
ANKRD19P,5
ANKRD20A5P,3
ANKRD23,5
ANKRD24,0
ANKRD27,0
ANKRD29,1
ANKRD31,4
ANKRD33B,4
ANKRD34A,4
ANKRD34B,4
ANKRD36,3
ANKRD36B,5
ANKRD36BP1,4
ANKRD36C,5
ANKRD39,5
ANKRD40,5
ANKRD44,5
ANKRD49,5
ANKRD52,0
ANKRD6,0
ANKRD61,1
ANKRD63,3
ANKRD9,0
ANKS1A,0
ANKS1B,1
ANKS3,5
ANKS6,0
ANKZF1,5
ANO4,0
ANO5,1
ANO6,0
ANO7,4
ANO8,3
ANP32AP1,1
ANP32CP,1
ANTKMT,4
ANTXR1,2
ANXA1,1
ANXA11,4
ANXA2,4
ANXA2R,3
ANXA2R-OT1,5
ANXA3,1
ANXA4,5
ANXA6,0
ANXA9,4
AOC2,5
AOC3,3
AOPEP,5
AP1AR,5
AP1B1,0
AP1G2,5
AP1G2-AS1,3
AP1S1,0
AP1S2,0
AP2A1,0
AP2A2,2
AP2B1,0
AP2M1,2
AP2S1,4
AP3B2,1
AP3D1,0
AP3M2,4
AP4B1,4
AP4E1,4
AP4S1,5
AP5B1,5
AP5S1,5
AP5Z1,4
APAF1,0
APBA2,0
APBA3,5
APBB3,1
APC,4
APC2,0
APCDD1,4
APEH,0
APEX1,5
APH1A,0
APH1B,5
APLF,1
APLN,1
APLP1,0
APLP2,0
APMAP,2
APOBEC3B,1
APOBEC3C,1
APOBEC3D,3
APOBEC3F,3
APOC1,5
APOE,1
APOL2,5
APOLD1,5
APP,2
APPBP2,5
APRT,4
APTR,5
APTX,0
AQP11,1
AQP3,3
AR,0
ARAP1,0
ARAP2,1
ARAP3,3
ARC,5
ARCN1,4
ARF1,0
ARF4,3
ARFGAP1,3
ARFGAP2,0
ARFGAP3,3
ARFGEF1,0
ARFGEF2,4
ARFGEF3,3
ARFIP1,0
ARFRP1,0
ARGLU1,5
ARHGAP1,0
ARHGAP11A,1
ARHGAP12,5
ARHGAP17,5
ARHGAP18,4
ARHGAP20,1
ARHGAP22,0
ARHGAP24,5
ARHGAP27P1,4
ARHGAP28,0
ARHGAP31,0
ARHGAP32,0
ARHGAP33,0
ARHGAP39,0
ARHGAP42,0
ARHGAP44,1
ARHGAP45,4
ARHGAP5-AS1,1
ARHGDIA,4
ARHGDIG,1
ARHGEF10L,0
ARHGEF11,0
ARHGEF12,0
ARHGEF16,0
ARHGEF17,1
ARHGEF19,1
ARHGEF25,0
ARHGEF28,1
ARHGEF37,4
ARHGEF4,0
ARHGEF40,0
ARHGEF6,0
ARHGEF9,0
ARID1A,0
ARID1B,0
ARID2,5
ARID3A,0
ARID4A,5
ARID4B,5
ARID5A,4
ARID5B,4
ARIH1,0
